event_type,id,agent_id,phone_number,start_time,end_time,disposition
STARTED,1,40,(807) 4254-5586,2016-03-18 21:11,,
ENDED,1,40,(807) 4254-5586,2016-03-18 21:11,2016-03-18 21:11,DROPPED_WHILE_TALKING
STARTED,2,15,(437) 2869-3170,2016-03-18 21:11,,
ENDED,2,15,(437) 2869-3170,2016-03-18 21:11,2016-03-18 21:11,DROPPED_WHILE_TALKING
STARTED,3,34,(343) 3322-7289,2016-03-18 21:11,,
ENDED,3,34,(343) 3322-7289,2016-03-18 21:11,2016-03-18 21:11,COMPLAINT
STARTED,4,23,(416) 2926-3098,2016-03-18 21:11,,
ENDED,4,23,(416) 2926-3098,2016-03-18 21:11,2016-03-18 21:11,WARM_TRANSFER
STARTED,5,5,(343) 9220-3456,2016-03-18 21:11,,
ENDED,5,5,(343) 9220-3456,2016-03-18 21:11,2016-03-18 21:11,PRODUCT_QUESTION
STARTED,6,31,(705) 6911-8529,2016-03-18 21:11,,
STARTED,7,36,(613) 3491-9359,2016-03-18 21:11,,
STARTED,8,23,(613) 5847-9157,2016-03-18 21:11,,
STARTED,9,18,(226) 8139-0203,2016-03-18 21:11,,
ENDED,9,18,(226) 8139-0203,2016-03-18 21:11,2016-03-18 21:11,SILENCE
ENDED,6,31,(705) 6911-8529,2016-03-18 21:11,2016-03-18 21:11,DROPPED_WHILE_TALKING
ENDED,7,36,(613) 3491-9359,2016-03-18 21:11,2016-03-18 21:12,REFUND
STARTED,10,34,(343) 7224-1289,2016-03-18 21:12,,
ENDED,8,23,(613) 5847-9157,2016-03-18 21:11,2016-03-18 21:12,PRODUCT_QUESTION
STARTED,11,23,(647) 2168-9893,2016-03-18 21:12,,
ENDED,11,23,(647) 2168-9893,2016-03-18 21:12,2016-03-18 21:12,COMPLAINT
ENDED,10,34,(343) 7224-1289,2016-03-18 21:12,2016-03-18 21:12,SILENCE
STARTED,12,38,(289) 7530-6720,2016-03-18 21:12,,
ENDED,12,38,(289) 7530-6720,2016-03-18 21:12,2016-03-18 21:12,BILLING_QUESTION
STARTED,13,24,(437) 7863-7129,2016-03-18 21:12,,
ENDED,13,24,(437) 7863-7129,2016-03-18 21:12,2016-03-18 21:12,NEW_ORDER
STARTED,14,11,(289) 7321-5727,2016-03-18 21:12,,
ENDED,14,11,(289) 7321-5727,2016-03-18 21:12,2016-03-18 21:12,REQUIRES_SUPERVISOR_ATTENTION
STARTED,15,19,(519) 9174-5521,2016-03-18 21:12,,
STARTED,16,24,(437) 3338-1834,2016-03-18 21:12,,
ENDED,16,24,(437) 3338-1834,2016-03-18 21:12,2016-03-18 21:12,CANCELLATION
STARTED,17,35,(343) 8067-7563,2016-03-18 21:12,,
STARTED,18,30,(613) 8188-9389,2016-03-18 21:12,,
STARTED,19,33,(365) 5659-2434,2016-03-18 21:12,,
STARTED,20,13,(289) 4085-0070,2016-03-18 21:12,,
STARTED,21,1,(365) 6405-2591,2016-03-18 21:12,,
STARTED,22,15,(519) 5285-4803,2016-03-18 21:12,,
ENDED,19,33,(365) 5659-2434,2016-03-18 21:12,2016-03-18 21:12,REFUND
STARTED,23,21,(647) 2411-5979,2016-03-18 21:12,,
ENDED,15,19,(519) 9174-5521,2016-03-18 21:12,2016-03-18 21:12,DROPPED_WHILE_TALKING
ENDED,20,13,(289) 4085-0070,2016-03-18 21:12,2016-03-18 21:12,WARM_TRANSFER
STARTED,24,10,(365) 4054-7841,2016-03-18 21:12,,
STARTED,25,17,(343) 6665-5578,2016-03-18 21:12,,
ENDED,22,15,(519) 5285-4803,2016-03-18 21:12,2016-03-18 21:12,DROPPED_WHILE_TALKING
STARTED,26,3,(613) 1503-1415,2016-03-18 21:12,,
STARTED,27,15,(807) 2782-9099,2016-03-18 21:12,,
STARTED,28,28,(343) 4726-3924,2016-03-18 21:13,,
ENDED,21,1,(365) 6405-2591,2016-03-18 21:12,2016-03-18 21:13,TECH_SUPPORT
